Date,Open,High,Low,Close,Adj Close,Volume
21-09-2017,1245.525024,1270.5,1240,1262.449951,1168.067261,2438740
22-09-2017,1259.949951,1263.449951,1246,1251.800049,1158.213379,2435396
25-09-2017,1248.275024,1267,1246.375,1255.375,1161.521118,1599558
26-09-2017,1255,1263.199951,1233,1237.324951,1144.820435,1449230
27-09-2017,1245,1256.099976,1236.875,1247.5,1154.235107,2010356
28-09-2017,1247.349976,1257,1226,1238.224976,1145.65332,4332866
29-09-2017,1239.5,1242,1210.75,1217.974976,1126.917236,1985014
03-10-2017,1220,1227.150024,1213.525024,1224.224976,1132.700073,1923006
04-10-2017,1224.800049,1227,1212.5,1221.150024,1129.85498,1300778
05-10-2017,1220.5,1221.724976,1212.199951,1214.800049,1123.979492,1684686
06-10-2017,1215,1227.5,1214.025024,1223.324951,1131.86731,1389188
09-10-2017,1220.525024,1233.974976,1220.525024,1227.050049,1135.313843,1773616
10-10-2017,1227.5,1234.974976,1225.625,1229.625,1137.696289,1222010
11-10-2017,1230,1257.224976,1228.375,1250.175049,1156.709961,1527746
12-10-2017,1256.5,1277.5,1253.5,1274.099976,1178.846436,5006356
13-10-2017,1274.099976,1304.474976,1261.5,1279.300049,1183.657471,4066320
16-10-2017,1277.525024,1295,1277.525024,1292.199951,1195.593262,1218590
17-10-2017,1292.5,1307.474976,1288.775024,1297.275024,1200.288818,1443016
18-10-2017,1297.5,1306.824951,1290,1293.300049,1196.610962,1514144
19-10-2017,1296,1297.900024,1285.5,1291.949951,1195.361938,86822
23-10-2017,1292,1314.5,1273.724976,1293.949951,1197.21228,1886088
24-10-2017,1310,1310.449951,1284.525024,1289.199951,1192.817505,1339020
25-10-2017,1289.25,1307,1277.5,1279.949951,1187.482788,1105106
26-10-2017,1267.550049,1284.574951,1258.949951,1269.425049,1177.717896,3007552
27-10-2017,1269,1296.574951,1265.150024,1292.150024,1198.801514,1409270
30-10-2017,1293,1310,1290.849976,1308.099976,1213.599121,1137252
31-10-2017,1300.650024,1320,1300.650024,1312,1217.217407,1592634
01-11-2017,1312,1313.425049,1289.425049,1301.425049,1207.406494,741882
02-11-2017,1304.25,1337,1303.375,1313.074951,1218.2146,1468422
03-11-2017,1316.199951,1318.349976,1301.400024,1310.050049,1215.408447,666886
06-11-2017,1310,1335.900024,1305.875,1332.775024,1236.491577,1377000
07-11-2017,1335,1384,1333.025024,1355.025024,1257.133911,2696892
08-11-2017,1361.5,1379.5,1359.125,1367.5,1268.708008,1402252
09-11-2017,1375,1375,1359.650024,1368.199951,1269.357178,1152432
10-11-2017,1361.099976,1363,1346.675049,1354.375,1256.53125,1356566
13-11-2017,1351.025024,1388.699951,1351.025024,1379.474976,1279.817871,1496996
14-11-2017,1378.275024,1378.275024,1353.75,1357.300049,1259.245117,1657252
15-11-2017,1353,1377.5,1350.675049,1352.650024,1254.930908,6670834
16-11-2017,1355,1381.5,1343.474976,1373.324951,1274.112061,1653482
